"","dhsclust","geocode","urban","stratum","domain_code","domain","province_code","province","district_code","district","commune_code","commune","village_code","village","ea_num","ea_num_hh","ea_sp","total_hh","num_eas_total","num_eas_selected","stratum_number","selection_prob","sampling_weight","dhslat","dhslon","geometry"
"1",26,109030103,2,5,1,"BANTEAY MEANCHEY",1,"BANTEAY MEANCHEY",9,"MALAI",3,"OU SAMPOAR",1,"OU SAMPOAR MUOY",3,103,0.019166,107484,1145,20,2,0.2,5,13.523099,102.433926,c(102.433926, 13.523099)
"2",34,110020819,1,6,1,"BANTEAY MEANCHEY",1,"BANTEAY MEANCHEY",10,"KRONG PAOY PAET",2,"SANGKAT PAOY PAET",8,"PRACHEAR THOAM",19,75,0.028246,37174,339,14,1,0.044444444,22.5,13.664493,102.601358,c(102.601358, 13.664493)
"3",45,203090604,1,4,15,"BATTAMBANG/PAILIN",2,"BATTAMBANG",3,"KRONG BATTAMBANG",9,"OU CHAR",6,"ANG",4,141,0.032631,38889,367,9,29,0.063829787,15.66666667,13.087926,103.172118,c(103.172118, 13.087926)
"4",47,204040202,2,4,15,"BATTAMBANG/PAILIN",2,"BATTAMBANG",4,"BAVEL",4,"PREY KHPOS",2,"POU",2,101,0.011449,185249,1867,21,30,0.154545455,6.470588235,13.333901,102.906164,c(102.906164, 13.333901)
"5",50,206011001,2,4,15,"BATTAMBANG/PAILIN",2,"BATTAMBANG",6,"MOUNG RUESSEI",1,"MOUNG RUESSEI",10,"MOUNG",1,113,0.01281,185249,1867,21,30,0.154545455,6.470588235,12.772844,103.427754,c(103.427754, 12.772844)
"6",52,206080601,2,4,15,"BATTAMBANG/PAILIN",2,"BATTAMBANG",6,"MOUNG RUESSEI",8,"PREY TOUCH",6,"STUENG CHAK",1,107,0.01213,185249,1867,21,30,0.154545455,6.470588235,12.854444,103.392591,c(103.392591, 12.854444)
"7",66,303060902,2,2,2,"KAMPONG CHAM",3,"KAMPONG CHAM",3,"CHEUNG PREY",6,"SAMPONG CHEY",9,"BAKHAM",2,132,0.010004,343058,3451,26,4,0.222222222,4.5,12.168733,105.128632,c(105.128632, 12.168733)
"8",68,304030405,2,2,2,"KAMPONG CHAM",3,"KAMPONG CHAM",4,"DAMBAE",3,"KOUK SROK",4,"KOUK SROK",5,122,0.009246,343058,3451,26,4,0.222222222,4.5,11.944309,105.831152,c(105.831152, 11.944309)
"9",71,305040604,1,2,2,"KAMPONG CHAM",3,"KAMPONG CHAM",5,"KRONG KAMPONG CHAM",4,"VEAL VONG",6,"PHUM TI PRAMMUOY",4,144,0.045977,25056,231,8,3,0.1,10,11.981505,105.455604,c(105.455604, 11.981505)
"10",82,312041202,2,2,2,"KAMPONG CHAM",3,"KAMPONG CHAM",12,"PONHEA KRAEK",4,"KANDAOL CHRUM",12,"TRAPEANG PREI",2,147,0.011141,343058,3451,26,4,0.222222222,4.5,11.856002,105.830902,c(105.830902, 11.856002)
"11",83,312070101,2,2,2,"KAMPONG CHAM",3,"KAMPONG CHAM",12,"PONHEA KRAEK",7,"POPEL",1,"POPEL",1,148,0.011217,343058,3451,26,4,0.222222222,4.5,11.835526,105.834859,c(105.834859, 11.835526)
"12",85,313040502,2,2,2,"KAMPONG CHAM",3,"KAMPONG CHAM",13,"PREY CHHOR",4,"KHVET THUM",5,"AMPIL THUM",2,58,0.004396,343058,3451,26,4,0.222222222,4.5,12.053635,105.204718,c(105.204718, 12.053635)
